track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KCBW20190601_075030_V06,-53.576,0.074,299.012,192.426,1.920,-67.813,46.523,959.755,53789.223,20190601_035030,479171,247595,33309,217867
5,KCBW20190602_082147_V06,-21.724,0.277,296.399,124.985,24.518,-67.831,46.826,12259.247,87526.086,20190602_042147,479169,112428,66523,67104
6,KCBW20190602_082622_V06,-17.141,0.063,242.847,174.360,18.434,-68.180,46.604,9217.058,69014.385,20190602_042622,479178,104421,65434,60198
7,KCBW20190602_082622_V06,-17.141,0.063,264.289,413.831,12.522,-68.036,45.527,6261.189,59650.723,20190602_042622,479178,104421,65434,60198
2,KCBW20190603_080905_V06,-33.895,0.090,36.956,416.670,75.568,-69.490,45.502,37783.779,143878.229,20190603_040905,479172,131407,125157,41433
2,KCBW20190603_081344_V06,-29.245,0.098,36.794,413.908,80.790,-69.491,45.514,40395.116,143398.326,20190603_041344,479169,125796,120704,38506
1,KCBW20190603_075452_V06,-48.111,0.119,315.508,267.552,36.756,-67.707,46.185,18377.979,17981.649,20190603_035452,479176,151453,128016,52243
1,KCBW20190604_074323_V06,-59.105,0.074,131.517,327.296,9.329,-68.893,45.911,4664.288,85339.967,20190604_034323,479173,64431,38820,44642
1,KCBW20190604_075016_V06,-52.221,0.129,131.160,327.936,16.318,-68.895,45.908,8158.894,85567.845,20190604_035016,479172,54595,35905,37601
2,KCBW20190604_082439_V06,-17.838,0.142,130.720,329.044,11.785,-68.898,45.903,5892.364,85876.874,20190604_042439,479170,12736,10909,11024
2,KCBW20190604_083130_V06,-10.988,0.146,130.098,329.156,18.442,-68.902,45.903,9220.903,86192.605,20190604_043130,479172,12830,10219,11129
2,KCBW20190604_083821_V06,-4.138,0.107,128.189,329.422,10.630,-68.914,45.901,5314.970,87155.994,20190604_043821,479168,13512,11068,11515
2,KCBW20190604_084512_V06,2.712,0.135,127.476,329.662,18.136,-68.919,45.900,9068.018,87527.762,20190604_044512,479169,14620,12388,12055
2,KCBW20190604_085204_V06,9.579,0.141,130.154,329.524,11.894,-68.901,45.901,5947.186,86196.562,20190604_045204,479166,16761,13688,13714
